Navio: Suezmax
Cenário: Severo
Manobra: Entrada
Corrente: N 1nó 
Vento: SE 25 nós 
Onda: 2.25m 12s SE 

time_stamp zz vx vy vzz rudder_demanded propeller_demanded distance_midline distance_target
0.1 -160.0 3.08 -0.0 -0.0 -0.31 0 -3.923 2456.818
0.2 -160.0 3.08 -0.0 -0.0 -0.31 0 -3.953 2456.512
0.3 -160.0 3.08 -0.0 -0.0 -0.31 0 -3.993 2456.203
0.4 -160.0 3.08 -0.0 -0.0 -0.31 0 -4.023 2455.897
0.5 -160.0 3.08 -0.0 -0.0 -0.1 0 -4.062 2455.588
0.6 -160.0 3.08 -0.01 -0.0 -0.1 0 -4.092 2455.282
0.7 -160.0 3.08 -0.01 -0.0 -0.1 0 -4.132 2454.973
0.8 -160.0 3.08 -0.01 -0.0 -0.1 0 -4.162 2454.666
0.9 -160.0 3.08 -0.01 -0.01 -0.1 0 -4.202 2454.358
1.0 -160.0 3.08 -0.01 -0.01 -0.04 0 -4.232 2454.051
1.1 -160.0 3.08 -0.01 -0.01 -0.04 0 -4.271 2453.742
1.2 -160.0 3.08 -0.01 -0.01 -0.04 0 -4.301 2453.436
1.3 -160.01 3.08 -0.01 -0.01 -0.04 0 -4.331 2453.13
1.4 -160.01 3.08 -0.01 -0.01 -0.04 0 -4.371 2452.821
1.5 -160.01 3.08 -0.01 -0.01 -0.31 0 -4.401 2452.515
1.6 -160.01 3.08 -0.01 -0.01 -0.31 0 -4.441 2452.206
1.7 -160.01 3.08 -0.02 -0.01 -0.31 0 -4.471 2451.899
1.8 -160.01 3.08 -0.02 -0.01 -0.31 0 -4.511 2451.59
1.9 -160.01 3.08 -0.02 -0.01 -0.31 0 -4.541 2451.284
2.0 -160.01 3.08 -0.02 -0.01 -0.53 0 -4.571 2450.978
2.1 -160.01 3.08 -0.02 -0.01 -0.53 0 -4.61 2450.669
2.2 -160.01 3.08 -0.02 -0.01 -0.53 0 -4.64 2450.363
2.3 -160.02 3.08 -0.02 -0.01 -0.53 0 -4.67 2450.057
2.4 -160.02 3.08 -0.02 -0.01 -0.53 0 -4.708 2449.738
2.5 -160.02 3.08 -0.02 -0.01 -0.58 0 -4.738 2449.432
2.6 -160.02 3.08 -0.02 -0.01 -0.58 0 -4.768 2449.125
2.7 -160.02 3.08 -0.02 -0.02 -0.58 0 -4.807 2448.816
2.8 -160.02 3.08 -0.02 -0.02 -0.58 0 -4.837 2448.51
2.9 -160.02 3.08 -0.03 -0.02 -0.58 0 -4.867 2448.204
3.0 -160.03 3.08 -0.03 -0.02 -0.61 0 -4.907 2447.895
3.1 -160.03 3.08 -0.03 -0.02 -0.61 0 -4.937 2447.589
3.2 -160.03 3.08 -0.03 -0.02 -0.61 0 -4.967 2447.283
3.3 -160.03 3.08 -0.03 -0.02 -0.61 0 -4.997 2446.976
3.4 -160.03 3.08 -0.03 -0.02 -0.61 0 -5.037 2446.667
3.5 -160.03 3.08 -0.03 -0.02 -0.61 0 -5.067 2446.361
3.6 -160.04 3.08 -0.03 -0.02 -0.61 0 -5.097 2446.055
3.7 -160.04 3.08 -0.03 -0.02 -0.61 0 -5.125 2445.739
3.8 -160.04 3.08 -0.03 -0.02 -0.61 0 -5.164 2445.43
3.9 -160.04 3.08 -0.03 -0.02 -0.61 0 -5.194 2445.124
4.0 -160.04 3.08 -0.04 -0.02 -0.59 0 -5.224 2444.818
4.1 -160.05 3.08 -0.04 -0.02 -0.59 0 -5.254 2444.511
4.2 -160.05 3.08 -0.04 -0.02 -0.59 0 -5.284 2444.205
4.3 -160.05 3.08 -0.04 -0.02 -0.59 0 -5.324 2443.896
4.4 -160.05 3.08 -0.04 -0.02 -0.59 0 -5.354 2443.59
4.5 -160.06 3.08 -0.04 -0.02 -0.59 2 -5.384 2443.284
4.6 -160.06 3.08 -0.04 -0.02 -0.59 2 -5.414 2442.977
4.7 -160.06 3.08 -0.04 -0.02 -0.59 2 -5.442 2442.662
4.8 -160.06 3.08 -0.04 -0.02 -0.59 2 -5.472 2442.355
4.9 -160.07 3.08 -0.04 -0.02 -0.59 2 -5.502 2442.049
5.0 -160.07 3.08 -0.04 -0.03 -0.59 2 -5.532 2441.743
5.1 -160.07 3.08 -0.05 -0.03 -0.59 2 -5.562 2441.437
5.2 -160.07 3.08 -0.05 -0.03 -0.59 2 -5.601 2441.128
5.3 -160.08 3.08 -0.05 -0.03 -0.59 2 -5.631 2440.821
5.4 -160.08 3.08 -0.05 -0.03 -0.59 2 -5.659 2440.506
5.5 -160.08 3.08 -0.05 -0.03 -0.59 2 -5.689 2440.199
5.6 -160.08 3.08 -0.05 -0.03 -0.59 2 -5.719 2439.893
5.7 -160.09 3.08 -0.05 -0.03 -0.59 2 -5.749 2439.587
5.8 -160.09 3.08 -0.05 -0.03 -0.59 2 -5.779 2439.281
5.9 -160.09 3.08 -0.05 -0.03 -0.59 2 -5.809 2438.974
6.0 -160.09 3.08 -0.05 -0.03 -0.59 2 -5.839 2438.668
6.1 -160.1 3.08 -0.05 -0.03 -0.59 2 -5.867 2438.352
6.2 -160.1 3.08 -0.06 -0.03 -0.59 2 -5.897 2438.046
6.3 -160.1 3.08 -0.06 -0.03 -0.59 2 -5.927 2437.74
6.4 -160.11 3.08 -0.06 -0.03 -0.59 2 -5.957 2437.433
6.5 -160.11 3.08 -0.06 -0.03 -0.59 2 -5.987 2437.127
6.6 -160.11 3.08 -0.06 -0.03 -0.59 2 -6.007 2436.824
6.7 -160.12 3.08 -0.06 -0.03 -0.59 2 -6.035 2436.508
6.8 -160.12 3.08 -0.06 -0.03 -0.59 2 -6.065 2436.202
6.9 -160.12 3.08 -0.06 -0.03 -0.59 2 -6.095 2435.895
7.0 -160.13 3.08 -0.06 -0.03 -0.59 2 -6.125 2435.589
7.1 -160.13 3.08 -0.06 -0.03 -0.59 2 -6.155 2435.283
7.2 -160.13 3.08 -0.06 -0.03 -0.59 2 -6.182 2434.967
7.3 -160.14 3.08 -0.07 -0.03 -0.59 2 -6.212 2434.661
7.4 -160.14 3.08 -0.07 -0.03 -0.59 2 -6.242 2434.355
7.5 -160.14 3.08 -0.07 -0.03 -0.59 2 -6.263 2434.051
7.6 -160.15 3.08 -0.07 -0.03 -0.59 2 -6.293 2433.745
7.7 -160.15 3.08 -0.07 -0.03 -0.59 2 -6.32 2433.429
7.8 -160.15 3.08 -0.07 -0.03 -0.59 2 -6.35 2433.123
7.9 -160.16 3.08 -0.07 -0.03 -0.59 2 -6.38 2432.816
8.0 -160.16 3.08 -0.07 -0.04 -0.59 2 -6.41 2432.51
8.1 -160.16 3.08 -0.07 -0.04 -0.59 2 -6.431 2432.207
8.2 -160.17 3.08 -0.07 -0.04 -0.59 2 -6.458 2431.891
8.3 -160.17 3.08 -0.07 -0.04 -0.59 2 -6.488 2431.585
8.4 -160.17 3.08 -0.07 -0.04 -0.59 2 -6.518 2431.278
8.5 -160.18 3.08 -0.07 -0.04 -0.59 2 -6.539 2430.975
8.6 -160.18 3.08 -0.08 -0.04 -0.59 2 -6.566 2430.659
8.7 -160.18 3.08 -0.08 -0.04 -0.59 2 -6.596 2430.353
8.8 -160.19 3.08 -0.08 -0.04 -0.59 2 -6.626 2430.046
8.9 -160.19 3.08 -0.08 -0.04 -0.59 2 -6.646 2429.743
9.0 -160.2 3.08 -0.08 -0.04 -0.59 2 -6.674 2429.427
9.1 -160.2 3.08 -0.07 -0.04 -0.59 2 -6.704 2429.121
9.2 -160.21 3.08 -0.07 -0.04 -0.59 2 -6.724 2428.817
9.3 -160.21 3.08 -0.07 -0.05 -0.59 2 -6.754 2428.511
9.4 -160.21 3.08 -0.07 -0.05 -0.59 2 -6.784 2428.205
9.5 -160.22 3.08 -0.07 -0.05 -0.59 2 -6.812 2427.889
9.6 -160.22 3.08 -0.07 -0.05 -0.59 2 -6.832 2427.585
9.7 -160.23 3.08 -0.07 -0.05 -0.59 2 -6.862 2427.279
9.8 -160.23 3.08 -0.07 -0.05 -0.59 2 -6.892 2426.973
9.9 -160.24 3.08 -0.07 -0.05 -0.59 2 -6.922 2426.667
10.0 -160.24 3.08 -0.06 -0.05 -0.61 2 -6.95 2426.351
10.1 -160.25 3.08 -0.06 -0.05 -0.61 2 -6.97 2426.047
10.2 -160.25 3.08 -0.06 -0.05 -0.61 2 -7.0 2425.741
10.3 -160.26 3.08 -0.06 -0.05 -0.61 2 -7.03 2425.435
10.4 -160.26 3.08 -0.06 -0.05 -0.61 2 -7.06 2425.129
10.5 -160.27 3.08 -0.06 -0.05 -0.61 2 -7.09 2424.822
10.6 -160.27 3.08 -0.06 -0.05 -0.61 2 -7.111 2424.519
10.7 -160.28 3.08 -0.06 -0.04 -0.61 2 -7.138 2424.203
10.8 -160.28 3.08 -0.06 -0.04 -0.61 2 -7.168 2423.897
10.9 -160.29 3.08 -0.06 -0.04 -0.61 2 -7.198 2423.59
11.0 -160.29 3.08 -0.05 -0.04 -0.61 2 -7.228 2423.284
11.1 -160.29 3.08 -0.05 -0.04 -0.61 2 -7.258 2422.978
11.2 -160.3 3.08 -0.05 -0.03 -0.61 2 -7.288 2422.672
11.3 -160.3 3.08 -0.05 -0.03 -0.61 2 -7.306 2422.359
11.4 -160.3 3.08 -0.05 -0.03 -0.61 2 -7.336 2422.052
11.5 -160.31 3.08 -0.05 -0.02 -0.61 2 -7.366 2421.746
11.6 -160.31 3.08 -0.05 -0.02 -0.61 2 -7.396 2421.44
11.7 -160.31 3.08 -0.05 -0.01 -0.61 2 -7.426 2421.134
11.8 -160.31 3.09 -0.05 -0.01 -0.61 2 -7.454 2420.818
11.9 -160.31 3.09 -0.05 -0.01 -0.61 2 -7.484 2420.512
12.0 -160.31 3.09 -0.05 -0.0 -0.61 2 -7.514 2420.205
12.1 -160.31 3.09 -0.05 0.0 -0.61 2 -7.544 2419.899
12.2 -160.31 3.09 -0.06 0.01 -0.61 2 -7.562 2419.586
12.3 -160.31 3.09 -0.06 0.01 -0.61 2 -7.592 2419.28
12.4 -160.31 3.09 -0.06 0.02 -0.61 2 -7.622 2418.974
12.5 -160.31 3.1 -0.06 0.03 -0.61 2 -7.65 2418.658
12.6 -160.3 3.1 -0.06 0.03 -0.61 2 -7.68 2418.351
12.7 -160.3 3.1 -0.06 0.04 -0.61 2 -7.71 2418.045
12.8 -160.29 3.1 -0.06 0.04 -0.61 2 -7.737 2417.729
12.9 -160.29 3.1 -0.06 0.05 -0.61 2 -7.767 2417.423
13.0 -160.28 3.11 -0.06 0.06 -0.61 2 -7.785 2417.11
13.1 -160.28 3.11 -0.07 0.06 -0.61 2 -7.815 2416.804
13.2 -160.27 3.11 -0.07 0.07 -0.61 2 -7.845 2416.497
13.3 -160.27 3.11 -0.07 0.08 -0.61 2 -7.873 2416.182
13.4 -160.26 3.11 -0.07 0.08 -0.61 2 -7.901 2415.866
13.5 -160.25 3.12 -0.07 0.09 -0.61 2 -7.931 2415.56
13.6 -160.24 3.12 -0.07 0.09 -0.61 2 -7.958 2415.244
13.7 -160.23 3.12 -0.08 0.1 -0.61 2 -7.978 2414.94
13.8 -160.22 3.12 -0.08 0.11 -0.61 2 -8.006 2414.624
13.9 -160.21 3.12 -0.08 0.11 -0.61 2 -8.034 2414.308
14.0 -160.2 3.13 -0.08 0.12 -0.61 2 -8.064 2414.002
14.1 -160.18 3.13 -0.09 0.13 -0.61 2 -8.091 2413.686
14.2 -160.17 3.13 -0.09 0.13 -0.61 2 -8.109 2413.373
14.3 -160.16 3.13 -0.09 0.14 -0.61 2 -8.137 2413.057
14.4 -160.14 3.14 -0.09 0.15 -0.61 2 -8.167 2412.751
14.5 -160.13 3.14 -0.1 0.15 -0.61 2 -8.195 2412.435
14.6 -160.11 3.14 -0.1 0.16 -0.61 2 -8.222 2412.119
14.7 -160.1 3.14 -0.1 0.17 -0.61 2 -8.24 2411.806
14.8 -160.08 3.15 -0.1 0.17 -0.61 2 -8.268 2411.49
14.9 -160.06 3.15 -0.11 0.18 -0.61 2 -8.296 2411.174
15.0 -160.04 3.15 -0.11 0.18 -0.61 2 -8.323 2410.859
15.1 -160.02 3.15 -0.11 0.19 -0.61 2 -8.341 2410.545
15.2 -160.01 3.15 -0.11 0.19 -0.61 2 -8.369 2410.23
15.3 -159.99 3.16 -0.12 0.2 -0.61 2 -8.397 2409.914
15.4 -159.97 3.16 -0.12 0.2 -0.61 2 -8.415 2409.601
15.5 -159.95 3.16 -0.12 0.21 -0.53 2 -8.442 2409.285
15.6 -159.92 3.16 -0.13 0.21 -0.53 2 -8.47 2408.969
15.7 -159.9 3.16 -0.13 0.22 -0.53 2 -8.488 2408.656
15.8 -159.88 3.17 -0.13 0.22 -0.53 2 -8.516 2408.34
15.9 -159.86 3.17 -0.14 0.22 -0.53 2 -8.541 2408.014
16.0 -159.84 3.17 -0.14 0.23 -0.08 2 -8.559 2407.701
16.1 -159.81 3.17 -0.14 0.23 -0.08 2 -8.587 2407.385
16.2 -159.79 3.17 -0.14 0.23 -0.08 2 -8.605 2407.072
16.3 -159.77 3.18 -0.15 0.23 -0.08 2 -8.63 2406.747
16.4 -159.74 3.18 -0.15 0.24 -0.08 2 -8.658 2406.431
16.5 -159.72 3.18 -0.15 0.24 0.31 2 -8.676 2406.118
16.6 -159.7 3.18 -0.16 0.24 0.31 2 -8.701 2405.792
16.7 -159.67 3.18 -0.16 0.24 0.41 2 -8.719 2405.479
16.8 -159.65 3.18 -0.16 0.24 0.43 2 -8.747 2405.163
16.9 -159.62 3.18 -0.17 0.24 0.5 2 -8.762 2404.84
17.0 -159.6 3.19 -0.17 0.24 0.53 2 -8.79 2404.525
17.1 -159.58 3.19 -0.17 0.24 0.53 2 -8.806 2404.202
17.2 -159.55 3.19 -0.18 0.24 0.53 2 -8.833 2403.886
17.3 -159.53 3.19 -0.18 0.24 0.53 2 -8.849 2403.563
17.4 -159.5 3.19 -0.18 0.24 0.53 2 -8.877 2403.247
17.5 -159.48 3.19 -0.19 0.23 0.58 2 -8.892 2402.924
17.6 -159.46 3.19 -0.19 0.23 0.58 2 -8.92 2402.609
17.7 -159.44 3.19 -0.19 0.23 0.58 2 -8.936 2402.286
17.8 -159.41 3.19 -0.19 0.23 0.58 2 -8.963 2401.97
17.9 -159.39 3.19 -0.2 0.22 0.58 2 -8.979 2401.647
18.0 -159.37 3.19 -0.2 0.22 0.58 2 -8.994 2401.324
18.1 -159.35 3.19 -0.2 0.21 0.58 2 -9.022 2401.009
18.2 -159.33 3.19 -0.21 0.21 0.58 2 -9.038 2400.686
18.3 -159.3 3.19 -0.21 0.21 0.58 2 -9.056 2400.373
18.4 -159.28 3.19 -0.21 0.2 0.58 2 -9.081 2400.047
18.5 -159.26 3.19 -0.22 0.2 0.61 2 -9.097 2399.724
18.6 -159.25 3.19 -0.22 0.19 0.61 2 -9.115 2399.411
18.7 -159.23 3.19 -0.22 0.18 0.61 2 -9.13 2399.088
18.8 -159.21 3.19 -0.22 0.18 0.61 2 -9.156 2398.763
18.9 -159.19 3.19 -0.23 0.17 0.61 2 -9.174 2398.45
19.0 -159.17 3.19 -0.23 0.16 0.61 2 -9.189 2398.127
19.1 -159.16 3.19 -0.23 0.16 0.61 2 -9.205 2397.804
19.2 -159.14 3.19 -0.24 0.15 0.61 2 -9.223 2397.491
19.3 -159.13 3.19 -0.24 0.14 0.61 2 -9.248 2397.166
19.4 -159.11 3.19 -0.24 0.13 0.61 2 -9.266 2396.852
19.5 -159.1 3.19 -0.24 0.13 0.61 2 -9.282 2396.53
19.6 -159.09 3.19 -0.24 0.12 0.61 2 -9.297 2396.207
19.7 -159.08 3.18 -0.25 0.11 0.61 2 -9.315 2395.894
19.8 -159.07 3.18 -0.25 0.1 0.61 2 -9.331 2395.571
19.9 -159.06 3.18 -0.25 0.09 0.61 2 -9.347 2395.248
20.0 -159.05 3.18 -0.25 0.08 0.61 2 -9.365 2394.935
20.1 -159.04 3.18 -0.26 0.08 0.61 2 -9.38 2394.612
20.2 -159.03 3.18 -0.26 0.07 0.61 2 -9.398 2394.299
20.3 -159.03 3.17 -0.26 0.06 0.61 2 -9.414 2393.976
20.4 -159.02 3.17 -0.26 0.05 0.61 2 -9.432 2393.663
20.5 -159.02 3.17 -0.26 0.04 0.61 2 -9.447 2393.34
20.6 -159.01 3.17 -0.26 0.03 0.61 2 -9.463 2393.017
20.7 -159.01 3.16 -0.27 0.02 0.61 2 -9.481 2392.704
20.8 -159.01 3.16 -0.27 0.01 0.61 2 -9.487 2392.384
20.9 -159.01 3.16 -0.27 0.0 0.61 2 -9.505 2392.071
21.0 -159.01 3.16 -0.27 -0.01 0.61 2 -9.523 2391.758
21.1 -159.01 3.15 -0.27 -0.02 0.61 2 -9.538 2391.435
21.2 -159.01 3.15 -0.27 -0.02 0.61 2 -9.556 2391.122
21.3 -159.02 3.15 -0.27 -0.03 0.61 2 -9.562 2390.802
21.4 -159.02 3.15 -0.27 -0.04 0.61 2 -9.58 2390.489
21.5 -159.02 3.14 -0.27 -0.05 0.61 2 -9.598 2390.176
21.6 -159.03 3.14 -0.27 -0.06 0.61 2 -9.604 2389.855
21.7 -159.04 3.14 -0.27 -0.07 0.61 2 -9.622 2389.542
21.8 -159.04 3.13 -0.28 -0.08 0.61 2 -9.64 2389.229
21.9 -159.05 3.13 -0.28 -0.08 0.61 2 -9.648 2388.919
22.0 -159.06 3.13 -0.28 -0.09 0.61 2 -9.664 2388.596
22.1 -159.07 3.12 -0.28 -0.1 0.61 2 -9.682 2388.283
22.2 -159.08 3.12 -0.28 -0.11 0.61 2 -9.69 2387.972
22.3 -159.09 3.12 -0.28 -0.11 0.61 2 -9.708 2387.659
22.4 -159.1 3.12 -0.28 -0.12 0.61 2 -9.716 2387.349
22.5 -159.11 3.11 -0.28 -0.13 0.61 2 -9.734 2387.036
22.6 -159.13 3.11 -0.28 -0.13 0.61 2 -9.742 2386.725
22.7 -159.14 3.11 -0.28 -0.14 0.61 2 -9.76 2386.412
22.8 -159.15 3.1 -0.28 -0.14 0.61 2 -9.769 2386.101
22.9 -159.17 3.1 -0.27 -0.15 0.61 2 -9.786 2385.788
23.0 -159.18 3.1 -0.27 -0.15 0.61 2 -9.795 2385.478
23.1 -159.2 3.1 -0.27 -0.16 0.61 2 -9.813 2385.165
23.2 -159.21 3.09 -0.27 -0.16 0.61 2 -9.821 2384.854
23.3 -159.23 3.09 -0.27 -0.16 0.61 2 -9.839 2384.541
23.4 -159.25 3.09 -0.27 -0.17 0.61 2 -9.847 2384.231
23.5 -159.26 3.08 -0.27 -0.17 0.61 1 -9.855 2383.92
23.6 -159.28 3.08 -0.27 -0.17 0.61 1 -9.876 2383.617
23.7 -159.3 3.08 -0.27 -0.17 0.61 1 -9.884 2383.306
23.8 -159.32 3.08 -0.27 -0.18 0.61 1 -9.892 2382.996
23.9 -159.33 3.08 -0.27 -0.18 0.61 1 -9.91 2382.683
24.0 -159.35 3.07 -0.27 -0.18 0.61 0 -9.92 2382.382
24.1 -159.37 3.07 -0.27 -0.18 0.61 0 -9.929 2382.071
24.2 -159.39 3.07 -0.26 -0.18 0.61 0 -9.947 2381.758
24.3 -159.4 3.07 -0.26 -0.18 0.61 0 -9.957 2381.457
24.4 -159.42 3.07 -0.26 -0.18 0.61 0 -9.965 2381.147
24.5 -159.44 3.06 -0.26 -0.17 0.61 0 -9.983 2380.834
24.6 -159.46 3.06 -0.26 -0.17 0.61 0 -9.994 2380.533
24.7 -159.47 3.06 -0.26 -0.17 0.61 0 -10.002 2380.222
24.8 -159.49 3.06 -0.26 -0.17 0.61 0 -10.022 2379.919
24.9 -159.51 3.06 -0.26 -0.17 0.61 0 -10.031 2379.608
25.0 -159.52 3.06 -0.26 -0.16 0.61 0 -10.039 2379.298
25.1 -159.54 3.06 -0.25 -0.16 0.61 0 -10.059 2378.994
25.2 -159.56 3.06 -0.25 -0.15 0.61 0 -10.067 2378.684
25.3 -159.57 3.06 -0.25 -0.15 0.61 0 -10.078 2378.383
25.4 -159.59 3.06 -0.25 -0.15 0.61 0 -10.096 2378.07
25.5 -159.6 3.06 -0.25 -0.14 0.61 0 -10.106 2377.769
25.6 -159.61 3.06 -0.25 -0.14 0.61 0 -10.115 2377.459
25.7 -159.63 3.06 -0.25 -0.13 0.61 0 -10.135 2377.155
25.8 -159.64 3.06 -0.25 -0.12 0.61 0 -10.143 2376.845
25.9 -159.65 3.06 -0.24 -0.12 0.61 0 -10.154 2376.544
26.0 -159.66 3.06 -0.24 -0.11 0.61 0 -10.172 2376.231
26.1 -159.68 3.06 -0.24 -0.1 0.61 0 -10.182 2375.93
26.2 -159.69 3.06 -0.24 -0.1 0.61 0 -10.19 2375.619
26.3 -159.7 3.06 -0.24 -0.09 0.61 0 -10.211 2375.316
26.4 -159.7 3.06 -0.24 -0.08 0.61 0 -10.219 2375.005
26.5 -159.71 3.06 -0.24 -0.08 0.61 0 -10.229 2374.705
26.6 -159.72 3.06 -0.24 -0.07 0.61 0 -10.247 2374.391
26.7 -159.73 3.06 -0.23 -0.06 0.61 0 -10.258 2374.091
26.8 -159.73 3.06 -0.23 -0.05 0.61 0 -10.276 2373.777
26.9 -159.74 3.06 -0.23 -0.04 0.61 0 -10.286 2373.477
27.0 -159.74 3.06 -0.23 -0.04 0.61 0 -10.295 2373.166
27.1 -159.74 3.07 -0.23 -0.03 0.61 0 -10.315 2372.863
27.2 -159.75 3.07 -0.23 -0.02 0.61 0 -10.323 2372.552
27.3 -159.75 3.07 -0.23 -0.01 0.61 0 -10.341 2372.239
27.4 -159.75 3.07 -0.23 -0.0 0.61 0 -10.352 2371.938
27.5 -159.75 3.07 -0.22 0.01 0.61 0 -10.37 2371.625
27.6 -159.75 3.08 -0.22 0.01 0.61 0 -10.38 2371.324
27.7 -159.75 3.08 -0.22 0.02 0.61 0 -10.398 2371.011
27.8 -159.74 3.08 -0.22 0.03 0.61 0 -10.416 2370.698
27.9 -159.74 3.08 -0.22 0.04 0.61 0 -10.427 2370.397
28.0 -159.74 3.08 -0.22 0.05 0.61 0 -10.445 2370.084
28.1 -159.73 3.09 -0.22 0.06 0.61 0 -10.453 2369.773
28.2 -159.72 3.09 -0.22 0.06 0.61 0 -10.473 2369.47
28.3 -159.72 3.09 -0.22 0.07 0.61 0 -10.491 2369.157
28.4 -159.71 3.09 -0.22 0.08 0.61 0 -10.509 2368.844
28.5 -159.7 3.1 -0.21 0.09 0.61 0 -10.517 2368.533
28.6 -159.69 3.1 -0.21 0.1 0.61 0 -10.537 2368.23
28.7 -159.68 3.1 -0.21 0.1 0.61 0 -10.555 2367.916
28.8 -159.67 3.1 -0.21 0.11 0.61 0 -10.564 2367.606
28.9 -159.66 3.11 -0.21 0.12 0.61 0 -10.582 2367.293
29.0 -159.65 3.11 -0.21 0.12 0.61 0 -10.6 2366.98
29.1 -159.63 3.11 -0.21 0.13 0.61 0 -10.617 2366.666
29.2 -159.62 3.11 -0.21 0.14 0.61 0 -10.635 2366.353
29.3 -159.61 3.12 -0.21 0.14 0.61 0 -10.656 2366.05
29.4 -159.59 3.12 -0.21 0.15 0.61 0 -10.674 2365.737
29.5 -159.58 3.12 -0.21 0.15 0.61 0 -10.682 2365.426
29.6 -159.56 3.12 -0.21 0.16 0.61 0 -10.7 2365.113
29.7 -159.55 3.13 -0.21 0.17 0.61 0 -10.718 2364.8
29.8 -159.53 3.13 -0.21 0.17 0.61 0 -10.736 2364.487
29.9 -159.51 3.13 -0.21 0.17 0.61 0 -10.751 2364.164
30.0 -159.49 3.13 -0.21 0.18 0.61 0 -10.769 2363.851
30.1 -159.48 3.14 -0.21 0.18 0.61 0 -10.787 2363.538
30.2 -159.46 3.14 -0.21 0.19 0.61 0 -10.805 2363.224
30.3 -159.44 3.14 -0.21 0.19 0.61 0 -10.823 2362.911
30.4 -159.42 3.14 -0.22 0.19 0.61 0 -10.841 2362.598
30.5 -159.4 3.15 -0.22 0.19 0.61 0 -10.859 2362.285
30.6 -159.38 3.15 -0.22 0.2 0.61 0 -10.875 2361.962
30.7 -159.36 3.15 -0.22 0.2 0.61 0 -10.893 2361.649
30.8 -159.34 3.15 -0.22 0.2 0.61 0 -10.911 2361.336
30.9 -159.32 3.15 -0.22 0.2 0.61 0 -10.938 2361.02
31.0 -159.3 3.16 -0.22 0.2 0.61 0 -10.954 2360.697
31.1 -159.28 3.16 -0.22 0.2 0.61 0 -10.972 2360.384
31.2 -159.26 3.16 -0.23 0.2 0.61 0 -10.99 2360.071
31.3 -159.24 3.16 -0.23 0.2 0.61 0 -11.005 2359.748
31.4 -159.22 3.16 -0.23 0.2 0.61 0 -11.023 2359.435
31.5 -159.2 3.17 -0.23 0.2 0.61 0 -11.039 2359.112
31.6 -159.18 3.17 -0.23 0.2 0.61 0 -11.057 2358.799
31.7 -159.16 3.17 -0.24 0.2 0.61 0 -11.075 2358.486
31.8 -159.14 3.17 -0.24 0.19 0.61 0 -11.091 2358.163
31.9 -159.12 3.17 -0.24 0.19 0.61 1 -11.109 2357.85
32.0 -159.1 3.17 -0.24 0.19 0.61 1 -11.124 2357.527
32.1 -159.08 3.17 -0.25 0.19 0.61 1 -11.142 2357.214
32.2 -159.07 3.18 -0.25 0.18 0.61 1 -11.158 2356.891
32.3 -159.05 3.18 -0.25 0.18 0.61 1 -11.173 2356.568
32.4 -159.03 3.18 -0.25 0.17 0.61 1 -11.191 2356.255
32.5 -159.01 3.18 -0.26 0.17 0.59 1 -11.207 2355.932
32.6 -159.0 3.18 -0.26 0.16 0.59 1 -11.225 2355.619
32.7 -158.98 3.18 -0.26 0.16 0.59 1 -11.241 2355.297
32.8 -158.97 3.18 -0.27 0.15 0.59 1 -11.256 2354.974
32.9 -158.95 3.18 -0.27 0.15 0.59 1 -11.274 2354.661
33.0 -158.94 3.18 -0.27 0.14 0.48 1 -11.29 2354.338
33.1 -158.92 3.18 -0.28 0.14 0.48 1 -11.305 2354.015
33.2 -158.91 3.18 -0.28 0.13 0.48 1 -11.323 2353.702
33.3 -158.9 3.18 -0.28 0.12 0.48 1 -11.339 2353.379
33.4 -158.88 3.18 -0.29 0.12 0.48 1 -11.345 2353.059
33.5 -158.87 3.18 -0.29 0.11 0.35 1 -11.363 2352.746
33.6 -158.86 3.18 -0.29 0.1 0.35 1 -11.378 2352.423
33.7 -158.85 3.18 -0.29 0.09 0.35 1 -11.394 2352.1
33.8 -158.84 3.18 -0.3 0.09 0.35 1 -11.4 2351.78
33.9 -158.84 3.18 -0.3 0.08 0.35 1 -11.418 2351.467
34.0 -158.83 3.18 -0.3 0.07 0.32 1 -11.434 2351.144
34.1 -158.82 3.18 -0.31 0.06 0.32 1 -11.439 2350.824
34.2 -158.82 3.18 -0.31 0.05 0.32 1 -11.455 2350.501
34.3 -158.81 3.18 -0.31 0.04 0.32 1 -11.463 2350.191
34.4 -158.81 3.18 -0.32 0.04 0.32 1 -11.479 2349.868
34.5 -158.8 3.18 -0.32 0.03 0.27 1 -11.495 2349.545
34.6 -158.8 3.17 -0.32 0.02 0.27 1 -11.5 2349.225
34.7 -158.8 3.17 -0.33 0.01 0.27 1 -11.509 2348.915
34.8 -158.8 3.17 -0.33 0.0 0.27 1 -11.524 2348.592
34.9 -158.8 3.17 -0.33 -0.01 0.27 1 -11.53 2348.272
35.0 -158.8 3.17 -0.33 -0.02 0.17 1 -11.546 2347.949
35.1 -158.8 3.17 -0.34 -0.03 0.17 1 -11.554 2347.639
35.2 -158.81 3.17 -0.34 -0.03 0.17 1 -11.56 2347.319
35.3 -158.81 3.16 -0.34 -0.04 0.17 1 -11.566 2346.998
35.4 -158.81 3.16 -0.35 -0.05 0.17 1 -11.582 2346.676
35.5 -158.82 3.16 -0.35 -0.06 0.11 1 -11.59 2346.365
35.6 -158.83 3.16 -0.35 -0.07 0.11 1 -11.596 2346.045
